,unsafe_control_action_0,unsafe_control_action_1,equality
1047,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Autobrake engages without command during manual operation [H-2],False
1048,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
1049,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU engages Autobrake mode during normal taxi [H-3],False
1050,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU power does not turn off during system fault [H-2],False
1051,BSCU fault signal ignored during landing [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],True
1052,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
1053,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic system remains engaged after command ends [H-3],False
1054,BSCU power turns off during normal operation [H-2],Hydraulic system disengages prematurely [H-2],True
1055,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
1056,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
1057,Flight Crew maintains Manual control state unnecessarily long [H-2],Autobrake disengages prematurely during emergency braking [H-3],False
1058,BSCU engages Autobrake mode during normal taxi [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
1059,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1060,BSCU triggers Brake too late after turbulence passes [H-6],Wheel Brakes maintain full pressure post-stop [H-2],False
1061,Flight Crew engages Steering control during high-speed approach [H-6],Other subsystems trigger erroneous state transition [H-6],False
1062,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
1063,Autobrake disengages prematurely during emergency braking [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
1064,BSCU power does not turn off during system fault [H-2],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
1065,Flight Crew applies Reverse thrust during normal landing [H-2],BSCU power turns off during normal operation [H-2],False
1066,Flight Crew applies Reverse thrust during normal landing [H-2],Autobrake deceleration rate set incorrectly [H-1],True
1067,Flight Crew does not engage Steering control during taxi [H-3],BSCU fault signal ignored during landing [H-2],False
1068,Autobrake disengages prematurely during emergency braking [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1069,BSCU provides Arm and Set command prematurely before required conditions [H-1],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
1070,BSCU Disarm command is issued before landing completion [H-2],Hydraulic Controller fails to provide adequate pressure [H-3],False
1071,BSCU engages Autobrake mode during normal taxi [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
1072,BSCU engages Autobrake mode during normal taxi [H-3],Hydraulic Controller provides excessive pressure to brakes [H-3],True
1073,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Other subsystems trigger erroneous state transition [H-6],False
1074,Hydraulic Controller provides excessive pressure to brakes [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
1075,Autobrake Controller stops providing Brake command too early during landing [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
1076,Autobrake deceleration rate change too late for necessary correction [H-1],Flight Crew applies reverse thrust out of sequence [H-6],False
1077,Flight Crew maintains Manual control state unnecessarily long [H-2],Wheels provide inaccurate Wheel Speed data [H-6],False
1078,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
1079,Flight Crew maintains Manual control state unnecessarily long [H-2],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
1080,Hydraulic Controller closes valves during critical braking [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1081,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Flight Crew conducts BSCU mode change mid-flight [H-1],False
1082,BSCU does not engage Autobrake mode when required [H-1],Hydraulic system remains engaged after command ends [H-3],False
1083,Autobrake Controller does not provide Brake command during emergency landing [H-3],Manual Braking State not entered after system fault detection [H-6],True
1084,Hydraulic Controller provides excessive pressure to brakes [H-3],Autobrake disengages prematurely during emergency braking [H-3],False
1085,BSCU power does not turn off during system fault [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
1086,Autobrake Controller does not provide Brake command during emergency landing [H-3],Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],False
1087,Flight Crew omits BSCU mode check during pre-flight [H-1],Other subsystems trigger erroneous state transition [H-6],False
1088,BSCU provides Arm and Set command prematurely before required conditions [H-1],BSCU power turns off during normal operation [H-2],False
1089,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Brake System Control Unit switches to alternate mode without necessity [H-2],False
1090,Autobrake engages without command during manual operation [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],True
1091,BSCU fault falsely triggers emergency protocol [H-2],Hydraulic system disengages prematurely [H-2],True
1092,Flight Crew conducts BSCU mode change mid-flight [H-1],Manual Braking State not entered after system fault detection [H-6],True
1093,Hydraulic Controller closes valves during critical braking [H-3],BSCU triggers Brake too late after turbulence passes [H-6],False
1094,BSCU does not engage Autobrake mode when required [H-1],Flight Crew omits BSCU mode check during pre-flight [H-1],True
1095,BSCU triggers Brake too early upon detecting turbulence [H-6],Autobrake disengages prematurely during emergency braking [H-3],False
1096,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Flight Crew enters Manual control state too late after Autobrake failure [H-3],False
1097,Hydraulic Controller fails to provide adequate pressure [H-3],Manual Braking State not entered after system fault detection [H-6],True
1098,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU triggers Brake too early upon detecting turbulence [H-6],False
1099,Autobrake Controller does not provide Brake command during emergency landing [H-3],BSCU provides Arm and Set command prematurely before required conditions [H-1],False
1100,Brake System Control Unit switches to alternate mode without necessity [H-2],BSCU triggers Brake too early upon detecting turbulence [H-6],False
1101,BSCU provides Arm and Set command prematurely before required conditions [H-1],Flight Crew applies Reverse thrust during normal landing [H-2],False
1102,Flight Crew engages Steering control during high-speed approach [H-6],Manual Braking State not entered after system fault detection [H-6],True
1103,Hydraulic Controller closes valves during critical braking [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
1104,Flight Crew neglects reverse thrust check during systems test [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
1105,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",Flight Crew applies reverse thrust out of sequence [H-6],True
1106,Autobrake deceleration rate set incorrectly [H-1],Autobrake deceleration rate change too late for necessary correction [H-1],True
1107,Flight Crew conducts BSCU mode change mid-flight [H-1],Hydraulic system remains engaged after command ends [H-3],False
1108,BSCU does not engage Autobrake mode when required [H-1],Flight Crew applies reverse thrust out of sequence [H-6],False
1109,Autobrake Controller does not provide Brake command during emergency landing [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
1110,Flight Crew maintains Manual control state unnecessarily long [H-2],BSCU fault signal ignored during landing [H-2],False
1111,Flight Crew omits BSCU mode check during pre-flight [H-1],Hydraulic system remains engaged after command ends [H-3],False
1112,BSCU Disarm command is not issued upon successful landing [H-2],Wheel Brakes provide inconsistent braking power [H-3],False
1113,Other subsystems receive erroneous Manual Controls causing hazard [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
1114,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],True
1115,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Wheel Brakes provide inconsistent braking power [H-3],False
1116,Hydraulic system remains engaged after command ends [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1117,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic Controller opens valves too early before receiving Brake command [H-3],True
1118,BSCU provides Arm and Set command too late for takeoff roll [H-1],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
1119,BSCU does not engage Autobrake mode when required [H-1],Autobrake deceleration rate change too late for necessary correction [H-1],True
1120,Autobrake Controller provides Brake command during takeoff roll [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1121,Autobrake Controller stops providing Brake command too early during landing [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1122,Hydraulic Controller provides excessive pressure to brakes [H-3],Hydraulic system disengages prematurely [H-2],False
1123,BSCU triggers Brake too early upon detecting turbulence [H-6],Autobrake deceleration rate change too late for necessary correction [H-1],False
1124,BSCU provides Arm and Set command too late for takeoff roll [H-1],Flight Crew maintains Manual control state unnecessarily long [H-2],False
1125,BSCU fault falsely triggers emergency protocol [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],True
1126,Other subsystems do not receive Manual Controls from Flight Crew [H-6],BSCU triggers Brake too late after turbulence passes [H-6],True
1127,Wheels do not provide feedback for Wheel Speed [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],False
1128,Flight Crew engages Steering control during high-speed approach [H-6],BSCU Disarm command is issued before landing completion [H-2],True
1129,Hydraulic Controller does not open valves during Autobrake mode [H-3],Hydraulic Controller fails to provide adequate pressure [H-3],True
1130,Flight Crew conducts BSCU mode change mid-flight [H-1],Flight Crew neglects reverse thrust check during systems test [H-6],False
1131,Flight Crew maintains Manual control state unnecessarily long [H-2],Flight Crew conducts BSCU mode change mid-flight [H-1],True
1132,Other subsystems fail to revert to safe state post-anomaly [H-6],Other subsystems trigger erroneous state transition [H-6],True
1133,Hydraulic Controller does not open valves during Autobrake mode [H-3],Flight Crew conducts BSCU mode change mid-flight [H-1],False
1134,BSCU provides Arm and Set command too late for takeoff roll [H-1],Wheels do not provide feedback for Wheel Speed [H-6],False
1135,Brake System Control Unit switches to alternate mode without necessity [H-2],Manual Braking State not entered after system fault detection [H-6],False
1136,Wheels do not provide feedback for Wheel Speed [H-6],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
1137,Hydraulic Controller fails to provide adequate pressure [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
1138,Flight Crew applies Reverse thrust during normal landing [H-2],Manual Braking State not entered after system fault detection [H-6],False
1139,BSCU power does not turn off during system fault [H-2],BSCU triggers Brake too early upon detecting turbulence [H-6],False
1140,Flight Crew applies Reverse thrust during normal landing [H-2],Wheel Brakes maintain full pressure post-stop [H-2],False
1141,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
1142,Hydraulic Controller does not open valves during Autobrake mode [H-3],Autobrake deceleration rate change too late for necessary correction [H-1],False
1143,Wheels provide inaccurate Wheel Speed data [H-6],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
1144,BSCU power does not turn off during system fault [H-2],Flight Crew omits BSCU mode check during pre-flight [H-1],False
1145,Hydraulic system remains engaged after command ends [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
1146,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Autobrake disengages prematurely during emergency braking [H-3],False
1147,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
1148,BSCU power turns off during normal operation [H-2],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
1149,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU power does not turn off during system fault [H-2],False
1150,Wheel Brakes provide inconsistent braking power [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
1151,Hydraulic Controller does not open valves during Autobrake mode [H-3],BSCU fault falsely triggers emergency protocol [H-2],False
1152,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Wheel Brakes maintain full pressure post-stop [H-2],False
1153,Brake System Control Unit switches to alternate mode without necessity [H-2],Other subsystems trigger erroneous state transition [H-6],True
1154,BSCU provides Arm and Set command prematurely before required conditions [H-1],Wheels do not provide feedback for Wheel Speed [H-6],False
1155,Other subsystems fail to revert to safe state post-anomaly [H-6],Flight Crew applies reverse thrust out of sequence [H-6],True
1156,Flight Crew conducts BSCU mode change mid-flight [H-1],Autobrake deceleration rate set incorrectly [H-1],True
1157,BSCU provides Arm and Set command prematurely before required conditions [H-1],Wheel Brakes provide inconsistent braking power [H-3],False
1158,Autobrake Controller stops providing Brake command too early during landing [H-3],BSCU provides Arm and Set command too late for takeoff roll [H-1],False
1159,Hydraulic Controller does not open valves during Autobrake mode [H-3],Wheel Brakes maintain full pressure post-stop [H-2],False
1160,Flight Crew applies Reverse thrust during normal landing [H-2],Autobrake engages without command during manual operation [H-2],True
1161,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
1162,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Flight Crew neglects reverse thrust check during systems test [H-6],True
1163,BSCU provides Arm and Set command prematurely before required conditions [H-1],Other subsystems receive erroneous Manual Controls causing hazard [H-6],False
1164,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Wheel Brakes maintain full pressure post-stop [H-2],False
1165,Brake System Control Unit switches to alternate mode without necessity [H-2],Hydraulic Controller fails to provide adequate pressure [H-3],False
1166,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",Flight Crew neglects reverse thrust check during systems test [H-6],True
1167,"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",BSCU fault signal ignored during landing [H-2],False
1168,BSCU does not engage Autobrake mode when required [H-1],Wheels provide inaccurate Wheel Speed data [H-6],False
1169,Hydraulic system disengages prematurely [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1170,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
1171,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Other subsystems trigger erroneous state transition [H-6],False
1172,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
1173,Autobrake Controller provides Brake command during takeoff roll [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1174,Autobrake Controller provides Brake command too late after a rejected takeoff [H-3],Flight Crew neglects reverse thrust check during systems test [H-6],False
1175,Flight Crew does not utilize Reverse thrust on slippery runway [H-1],Autobrake deceleration rate set incorrectly [H-1],True
1176,Other subsystems do not receive Manual Controls from Flight Crew [H-6],BSCU triggers Brake too early upon detecting turbulence [H-6],True
1177,Hydraulic Controller closes valves during critical braking [H-3],Wheels do not provide feedback for Wheel Speed [H-6],False
1178,Autobrake disengages prematurely during emergency braking [H-3],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1179,Autobrake Controller stops providing Brake command too early during landing [H-3],Wheels provide inaccurate Wheel Speed data [H-6],False
1180,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Autobrake disengages prematurely during emergency braking [H-3],True
1181,BSCU engages Autobrake mode during normal taxi [H-3],BSCU Disarm command is not issued upon successful landing [H-2],False
1182,Flight Crew conducts BSCU mode change mid-flight [H-1],BSCU fault falsely triggers emergency protocol [H-2],True
1183,Brake System Control Unit switches to alternate mode without necessity [H-2],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",True
1184,Autobrake Controller provides Brake command during takeoff roll [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
1185,Hydraulic Controller does not open valves during Autobrake mode [H-3],Flight Crew omits BSCU mode check during pre-flight [H-1],False
1186,Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],Brake System Control Unit switches to alternate mode without necessity [H-2],False
1187,Other subsystems do not receive Manual Controls from Flight Crew [H-6],Brake System Control Unit switches to alternate mode without necessity [H-2],False
1188,BSCU does not engage Autobrake mode when required [H-1],Hydraulic Controller opens valves too early before receiving Brake command [H-3],False
1189,Other subsystems receive erroneous Manual Controls causing hazard [H-6],Autobrake deceleration rate set incorrectly [H-1],False
1190,Autobrake Controller stops providing Brake command too early during landing [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1191,Hydraulic system disengages prematurely [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
1192,BSCU power turns off during normal operation [H-2],BSCU fault signal ignored during landing [H-2],True
1193,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic system disengages prematurely [H-2],False
1194,BSCU provides Arm and Set command too late for takeoff roll [H-1],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1195,BSCU fault signal ignored during landing [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],True
1196,BSCU power turns off during normal operation [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
1197,Flight Crew does not engage Steering control during taxi [H-3],"Manual Braking State entered unnecessarily, disrupting sequence [H-6]",False
1198,BSCU provides Arm and Set command prematurely before required conditions [H-1],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
1199,Autobrake Controller does not provide Brake command during emergency landing [H-3],Hydraulic Controller closes valves during critical braking [H-3],True
1200,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Brake System Control Unit does not switch to alternate braking mode when required [H-3],False
1201,Brake System Control Unit does not switch to alternate braking mode when required [H-3],Hydraulic system remains engaged after command ends [H-3],True
1202,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic Controller provides inadequate valve opening during maximum required braking [H-3],False
1203,Flight Crew does not engage Steering control during taxi [H-3],Autobrake disengages prematurely during emergency braking [H-3],True
1204,Hydraulic system disengages prematurely [H-2],Flight Crew neglects reverse thrust check during systems test [H-6],False
1205,Flight Crew applies Reverse thrust during normal landing [H-2],Hydraulic Controller does not open valves during Autobrake mode [H-3],False
1206,Wheel Brakes maintain full pressure post-stop [H-2],Manual Braking State not entered after system fault detection [H-6],True
1207,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU provides Arm and Set command prematurely before required conditions [H-1],False
1208,Hydraulic Controller fails to provide adequate pressure [H-3],Flight Crew applies reverse thrust out of sequence [H-6],False
1209,Flight Crew enters Manual control state too late after Autobrake failure [H-3],BSCU fault signal ignored during landing [H-2],False
1210,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Hydraulic Controller opens valves too early before receiving Brake command [H-3],False
1211,BSCU does not engage Autobrake mode when required [H-1],BSCU provides Arm and Set command too late for takeoff roll [H-1],False
1212,Autobrake Controller provides Brake command during takeoff roll [H-3],Hydraulic Controller closes valves during critical braking [H-3],True
1213,Autobrake Controller provides Brake command during takeoff roll [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
1214,Flight Crew does not engage Steering control during taxi [H-3],Manual Braking State not entered after system fault detection [H-6],False
1215,BSCU fault falsely triggers emergency protocol [H-2],Flight Crew applies reverse thrust out of sequence [H-6],False
1216,Autobrake Controller stops providing Brake command too early during landing [H-3],Autobrake deceleration rate set incorrectly [H-1],True
1217,Autobrake engages without command during manual operation [H-2],Other subsystems fail to revert to safe state post-anomaly [H-6],False
1218,BSCU does not engage Autobrake mode when required [H-1],Brake System Control Unit does not switch to alternate braking mode when required [H-3],True
1219,BSCU provides Arm and Set command too late for takeoff roll [H-1],Hydraulic Controller opens valves too early before receiving Brake command [H-3],False
1220,Flight Crew enters Manual control state too late after Autobrake failure [H-3],Flight Crew engages Steering control during high-speed approach [H-6],False
1221,Flight Crew maintains Manual control state unnecessarily long [H-2],Hydraulic Controller fails to provide adequate pressure [H-3],False
1222,Hydraulic Controller opens valves too early before receiving Brake command [H-3],Other subsystems do not receive Manual Controls from Flight Crew [H-6],False
1223,Autobrake Controller provides Brake command during takeoff roll [H-3],BSCU does not engage Autobrake mode when required [H-1],False
1224,BSCU does not engage Autobrake mode when required [H-1],BSCU fault falsely triggers emergency protocol [H-2],False
